id,label,weight,description
git,Completeness,0.5,Did the student complete all the required steps? How complete is the overall solution?
git,Functionality,0.25,How well does the solution function? Does it produce errors or function incorrectly?
git,Implementation,0.25,How well-written is the code? Is the HTML properly indented and easy to read? Do the CSS class names make sense?
html-css,Completeness,0.25,Did the student complete all the required steps? How complete is the overall solution?
html-css,Functionality,0.5,How well does the solution function? Does it produce errors or function incorrectly?
html-css,Implementation,0.25,How well-written is the code? Is the HTML properly indented and easy to read? Do the CSS class names make sense?
bootstrap,Completeness,0.25,Did the student complete all the required steps? How complete is the overall solution?
bootstrap,Functionality,0.5,How well does the solution function? Does it produce errors or function incorrectly?
bootstrap,Implementation,0.25,How well-written is the code? Is the HTML properly indented and easy to read? Do the CSS class names make sense?
spotify,Completeness,0.1,"Did the student build a responsive form using angular, and then use angular to retrieve data?"
spotify,Creativity,0.25,Did the student build a creative web-application using the tools covered in the lecture?
spotify,Functionality,0.5,How well does the solution function? Does it produce errors or function incorrectly?
spotify,Implementation,0.25,How well-written is the code? Is Angular properly leveraged for retrieving data and building the application?
presentation,Library selection,0.1,"Did the group select a useful JavaScript library, and articulate that usefulness to the class?"
presentation,Clarity,0.4,"Did the group clearly communicate the purpose of the pacakge, as well as how to implement it?"
presentation,Exercise,0.4,Did the group create an exercise that demonstrated how to use the package?
presentation,Group work,0.1,Did all members of the group contribute to creating and presenting the materials?
project,Functionality,0.3,How well does the website function?  Was it build using proper mobile response principles?
project,UX,0.3,How is the user experience?  Does the site use a layout and leverage familiar navigation elements?
project,Implementation,0.3,"How well-written is the code? Is the HTML properly indented and easy to read? Do the CSS class names make sense? Is the JavaScript well-organized, optimized, and commented?"
project,Originality,0.1,How original or innovative is the project?
